species_scientific,age_years,dbh_cm,height_m,source_for_growth
Tectona grandis,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,2,8.98,6.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,3,12.55,9.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,4,15.63,11.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,5,18.28,13.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,6,20.56,15.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,7,22.52,17.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,8,24.21,18.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,9,25.66,19.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,10,26.91,20.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,11,27.99,21.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,12,28.91,22.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,13,29.71,23.7,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,14,30.4,24.41,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,15,30.99,25.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,16,31.5,25.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,17,31.94,26.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,18,32.31,26.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,19,32.64,26.93,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,20,32.92,27.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,21,33.16,27.59,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,22,33.36,27.86,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,23,33.54,28.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,24,33.69,28.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,25,33.83,28.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,26,33.94,28.68,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,27,34.04,28.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,28,34.12,28.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,29,34.19,29.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea robusta,30,34.26,29.18,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,1,5.91,5.09,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,2,11.0,9.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,3,15.37,13.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,4,19.14,17.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,5,22.39,20.3,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,6,25.18,23.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,7,27.58,25.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,8,29.65,27.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,9,31.43,29.72,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,10,32.96,31.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,11,34.28,32.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,12,35.41,34.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,13,36.39,35.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,14,37.23,36.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,15,37.95,37.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,16,38.58,38.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,17,39.11,39.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,18,39.58,39.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,19,39.97,40.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,20,40.31,40.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,21,40.61,41.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,22,40.86,41.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,23,41.08,42.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,24,41.27,42.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,25,41.43,42.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,26,41.57,43.01,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,27,41.69,43.24,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,28,41.79,43.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,29,41.88,43.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Eucalyptus tereticornis,30,41.96,43.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,1,5.21,3.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,2,9.7,7.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,3,13.56,10.58,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,4,16.88,13.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,5,19.74,15.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,6,22.2,17.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,7,24.32,19.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,8,26.15,21.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,9,27.72,23.11,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,10,29.07,24.46,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,11,30.23,25.65,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,12,31.23,26.71,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,13,32.09,27.65,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,14,32.83,28.48,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,15,33.47,29.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,16,34.02,29.87,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,17,34.5,30.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,18,34.9,30.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,19,35.25,31.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,20,35.55,31.82,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,21,35.81,32.18,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,22,36.04,32.5,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,23,36.23,32.78,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,24,36.39,33.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,25,36.54,33.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,26,36.66,33.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,27,36.76,33.63,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,28,36.86,33.78,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,29,36.93,33.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Casuarina equisetifolia,30,37.0,34.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,1,3.94,2.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,2,7.33,4.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,3,10.25,6.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,4,12.76,7.62,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,5,14.92,9.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,6,16.78,10.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,7,18.39,11.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,8,19.77,12.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,9,20.95,13.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,10,21.97,13.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,11,22.85,14.66,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,12,23.61,15.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,13,24.26,15.8,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,14,24.82,16.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,15,25.3,16.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,16,25.72,17.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,17,26.08,17.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,18,26.38,17.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,19,26.65,17.95,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,20,26.88,18.19,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,21,27.07,18.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,22,27.24,18.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,23,27.39,18.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,24,27.51,18.88,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,25,27.62,19.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,26,27.71,19.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,27,27.79,19.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,28,27.86,19.31,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,29,27.92,19.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Acacia nilotica,30,27.97,19.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,1,3.41,1.7,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,2,6.35,3.2,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,3,8.88,4.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,4,11.05,5.72,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,5,12.92,6.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,6,14.54,7.7,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,7,15.92,8.52,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,8,17.12,9.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,9,18.14,9.91,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,10,19.03,10.48,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,11,19.79,10.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,12,20.45,11.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,13,21.01,11.85,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,14,21.5,12.2,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,15,21.91,12.52,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,16,22.27,12.8,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,17,22.58,13.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,18,22.85,13.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,19,23.08,13.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,20,23.28,13.64,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,21,23.45,13.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,22,23.59,13.93,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,23,23.72,14.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,24,23.83,14.16,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,25,23.92,14.25,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,26,24.0,14.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,27,24.07,14.41,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,28,24.13,14.48,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,29,24.18,14.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Leucaena leucocephala,30,24.22,14.59,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,1,3.94,2.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,2,7.33,4.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,3,10.25,6.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,4,12.76,7.62,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,5,14.92,9.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,6,16.78,10.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,7,18.39,11.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,8,19.77,12.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,9,20.95,13.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,10,21.97,13.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,11,22.85,14.66,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,12,23.61,15.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,13,24.26,15.8,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,14,24.82,16.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,15,25.3,16.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,16,25.72,17.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,17,26.08,17.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,18,26.38,17.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,19,26.65,17.95,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,20,26.88,18.19,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,21,27.07,18.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,22,27.24,18.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,23,27.39,18.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,24,27.51,18.88,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,25,27.62,19.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,26,27.71,19.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,27,27.79,19.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,28,27.86,19.31,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,29,27.92,19.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pongamia pinnata,30,27.97,19.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,1,3.05,1.36,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,2,5.68,2.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,3,7.94,3.63,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,4,9.89,4.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,5,11.56,5.41,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,6,13.0,6.16,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,7,14.24,6.82,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,8,15.31,7.41,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,9,16.23,7.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,10,17.02,8.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,11,17.7,8.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,12,18.29,9.16,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,13,18.79,9.48,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,14,19.23,9.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,15,19.6,10.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,16,19.92,10.24,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,17,20.2,10.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,18,20.44,10.62,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,19,20.64,10.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,20,20.82,10.91,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,21,20.97,11.03,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,22,21.1,11.14,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,23,21.21,11.24,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,24,21.31,11.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,25,21.39,11.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,26,21.47,11.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,27,21.53,11.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,28,21.58,11.58,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,29,21.63,11.63,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Prosopis juliflora,30,21.67,11.67,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,1,3.94,2.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,2,7.33,4.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,3,10.25,6.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,4,12.76,7.62,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,5,14.92,9.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,6,16.78,10.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,7,18.39,11.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,8,19.77,12.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,9,20.95,13.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,10,21.97,13.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,11,22.85,14.66,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,12,23.61,15.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,13,24.26,15.8,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,14,24.82,16.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,15,25.3,16.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,16,25.72,17.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,17,26.08,17.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,18,26.38,17.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,19,26.65,17.95,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,20,26.88,18.19,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,21,27.07,18.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,22,27.24,18.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,23,27.39,18.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,24,27.51,18.88,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,25,27.62,19.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,26,27.71,19.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,27,27.79,19.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,28,27.86,19.31,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,29,27.92,19.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Madhuca longifolia,30,27.97,19.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,1,4.4,2.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,2,8.2,5.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,3,11.46,7.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,4,14.27,9.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,5,16.69,11.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,6,18.77,12.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,7,20.56,14.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tamarindus indica,8,22.1,15.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
